marca,motor,observacoes,ano,combustivel,organization_id,cor,id,quilometragem,cliente_id,modelo,placa,created_date,updated_date,created_by_id,created_by,is_sample
"FORD","","","2013","flex","69864ce67137a313e5c26d4d","","69c4197c56efc53f35a950c3","0","69c417f588ed6ddf991cbde6","FOCUS TI","IUS-8I82","2026-03-25T17:21:00.166000","2026-03-25T17:39:43.779000","68c06e22e3b7015582db9328","contato@loker.com.br","false"
"KIA","1.6","","2019","flex","69864ce67137a313e5c26d4d","BRANCA","6970f97f3acf365433d83da1","","6970f4dd03539d953a679738","CERATO","","2026-01-21T16:06:23.935000","2026-02-16T16:55:23.511000","68c06e22e3b7015582db9328","contato@loker.com.br","false"
"RENAULT","","","","flex","69864e74fb6fe137d3577c07","","6968fb930f2258339324a4df","","6968ccb8479f980cf12a1a9a","","","2026-01-15T14:37:07.236000","2026-02-16T16:55:56.223000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"COROLLA 2.0","","","","","69864ce67137a313e5c26d4d","","69677b000c4f4dd1a411de75","","6928aa58135308f026bb8bb7","","","2026-01-14T11:16:16.822000","2026-02-16T16:55:23.519000","68c06e22e3b7015582db9328","contato@loker.com.br","false"
"PALIO 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","694015dc43effa0a1c4d0270","","","","","2025-12-15T14:06:20.253000","2026-02-16T16:55:56.191000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CHEVETTE 1.6 8V","","","","flex","69864e74fb6fe137d3577c07","","694015bd1875bba71a06fe7c","","","","","2025-12-15T14:05:49.075000","2026-02-16T16:55:56.232000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CHEVETTE 1.4 8V","","","","flex","69864e74fb6fe137d3577c07","","694015af635a64a94ff6b449","","","","","2025-12-15T14:05:35.502000","2026-02-16T16:55:56.239000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"FIAT ARGENTINO 1.5 8V","","","","flex","69864e74fb6fe137d3577c07","","6940159431c20b1a20feeec1","","","","","2025-12-15T14:05:08.281000","2026-02-16T16:55:56.288000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CIVIC 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","694014ed54a18a3996ff50e1","","","","","2025-12-15T14:02:21.340000","2026-02-16T16:55:56.310000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"CLIO 1.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694014dc73c59edccb507499","","","","","2025-12-15T14:02:04.335000","2026-02-16T16:55:56.265000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"GOL AT 1.0 16V","","","","flex","69864e74fb6fe137d3577c07","","694014c339050f72669bea94","","","","","2025-12-15T14:01:39.262000","2026-02-16T16:55:56.253000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"PEUGEOT 1.6 16V","","","","flex","69864e74fb6fe137d3577c07","","694014b9ba859af87fa14012","","","","","2025-12-15T14:01:29.467000","2026-02-16T16:55:56.336000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
"AT 1.0 8V","","","","flex","69864e74fb6fe137d3577c07","","694014abfeec05691bc623c9","","","","","2025-12-15T14:01:15.708000","2026-02-16T16:55:56.373000","68bf5a54d2be85c156a85dfd","marquesmd9@gmail.com","false"
