code,updated_at,resource,action_type,name,description,created_at,id,created_date,updated_date,created_by_id,created_by,is_sample
"fiscal.manage","2026-03-18T03:00:00.000Z","settings","manage","Gerenciamento Fiscal","Possível alterar os dados da empresa","2026-03-18T03:00:00.000Z","69bb306b03b70912c23fa457","2026-03-18T23:08:27.402000","2026-03-18T23:08:27.402000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"orders.correct","2026-03-17T03:00:00.000Z","orders","update","Corrigir Ordem de Serviço","Receber Solicitações e Corrigir Ordem de Serviço","2026-03-17T03:00:00.000Z","69b9ca7662afe7973f7e5454","2026-03-17T21:41:10.039000","2026-03-17T21:42:11.279000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"payment_machines.view","","payment_machines","read","Visualizar Maquininhas","Visualizar configurações de maquininhas","","6986527930417ef399f6afb8","2026-02-06T20:43:37.085000","2026-02-06T21:19:05.022000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"payment_machines.update","","payment_machines","update","Atualizar Maquininhas","Editar configurações de maquininhas","","6986527930417ef399f6afb9","2026-02-06T20:43:37.085000","2026-02-06T21:19:03.758000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"authorizations.create","","authorizations","create","Criar Autorizações","Criar novas solicitações de autorização","","6986527930417ef399f6afbb","2026-02-06T20:43:37.085000","2026-02-06T21:18:57.748000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"authorizations.read","","authorizations","read","Visualizar Autorizações","Visualizar lista e detalhes de autorizações","","6986527930417ef399f6afbc","2026-02-06T20:43:37.085000","2026-02-06T21:18:55.613000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"authorizations.update","","authorizations","update","Atualizar Autorizações","Editar solicitações de autorização","","6986527930417ef399f6afbd","2026-02-06T20:43:37.085000","2026-02-06T21:18:54.475000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"authorizations.delete","","authorizations","delete","Excluir Autorizações","Excluir solicitações de autorização","","6986527930417ef399f6afbe","2026-02-06T20:43:37.085000","2026-02-06T21:19:01.685000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"authorizations.approve","","authorizations","update","Aprovar Autorizações","Aprovar solicitações de autorização","","6986527930417ef399f6afc0","2026-02-06T20:43:37.085000","2026-02-06T21:18:49.218000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
"consultation.use","","consultation","create","Usar Consultoria IA","Usar recursos de consultoria de IA","","6986527930417ef399f6afc1","2026-02-06T20:43:37.085000","2026-02-06T21:19:28.300000","68b21e394c1c0a8057cf2136","beenkoficial@gmail.com","false"
